time_s,ax,ay,az,gx,gy,gz,roll,pitch,yaw,qw,qx,qy,qz,true_speed_mps,true_distance_m,true_forward_accel_mps2
0.0,1.2301533574825743e-05,0.002987455375084699,0.9972586214463778,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.01,-0.008905918387572742,-0.004546707851717226,0.9900835344500355,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.02,0.0006014360259743849,0.013402152455545338,0.9950779348144868,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.03,-0.006204748998199405,0.004898420501851982,1.0035688700816006,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.04,0.0010541424899789857,-0.009304680447082048,0.9997074817753672,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.05,0.006953031944582878,-0.01344214547285082,0.9954238423895978,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.06,-0.019012227398008442,-0.012895377397849761,0.9815826496220826,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.07,-0.0023509113107468126,-0.012674464814437032,1.002712643588217,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.08,0.0015675108662422516,-0.0018693094462995438,0.9748324028917948,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.09,-0.005386928958466366,-0.0004850094540107199,1.001133089860033,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.1,-0.015301357655053936,-0.004777532760339306,0.9902148092194337,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.11,-0.008088372394255994,0.010608986233860787,0.9919246532466811,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.12,-0.000325217049455206,0.00884389867383174,0.9941639956725671,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.13,-0.0011170194958415964,0.001104641432494806,1.0006378177425506,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.14,-0.012250558264176935,0.000761402303770081,1.0135882342174154,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.15,-0.015471446781284823,0.008593826880215982,1.0011935402569658,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.16,-0.006414703941072215,0.02000416546342423,1.007622597120847,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.17,-0.011992889021052234,0.0007451622877146343,1.0057668958367019,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.18,-0.0018878212535074935,0.00682910267195206,0.9993348267985059,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.19,0.006672475608343279,0.01438522591656152,0.9932433774899435,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.2,0.0020313861038960906,-0.004633075765384151,1.0012726841122583,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.21,-0.011871945278501399,-0.0057930159650267325,0.9980380402719551,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.22,0.008987638721004079,0.01145222007454132,0.9867647220751574,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
0.23,-0.007946423659870496,0.006469034225734219,0.9800758021582551,0.0,0.0,0.0,0.0,0.0,30.0,0.9659258262890683,0.0,0.0,0.25881904510252074,0.0,0.0,0.0
